word,set,lexicore_level,oxford_level,newest_share,recent_share
estimated,lexicore_only,B2,,,
estimation,lexicore_only,C1,,,
eternity,lexicore_only,B1,,,
ethanol,lexicore_only,C1,,,
ethically,lexicore_only,C1,,,
ethics,lexicore_only,B1,,,
evacuation,lexicore_only,B2,,,
everlasting,lexicore_only,B2,,,
ex,lexicore_only,A1,,,
exceptionally,lexicore_only,B2,,,
excursion,lexicore_only,B2,,,
exhaust,lexicore_only,C1,,,
exhausted,lexicore_only,B1,,,
exhilarating,lexicore_only,C1,,,
existing,lexicore_only,B2,,,
exodus,lexicore_only,C1,,,
expedite,lexicore_only,C1,,,
expiration,lexicore_only,C1,,,
explanatory,lexicore_only,C1,,,
explorer,lexicore_only,B2,,,
exponential,lexicore_only,C1,,,
exquisite,lexicore_only,B2,,,
exterior,lexicore_only,C1,,,
extortion,lexicore_only,C1,,,
extravagance,lexicore_only,C1,,,
exuberant,lexicore_only,C1,,,
facet,lexicore_only,C1,,,
facial,lexicore_only,C1,,,
facilitation,lexicore_only,C1,,,
facilities,lexicore_only,B2,,,
fairy,lexicore_only,A1,,,
faithful,lexicore_only,B1,,,
fallen,lexicore_only,B1,,,
fanatic,lexicore_only,C1,,,
fanciful,lexicore_only,C1,,,
farce,lexicore_only,C1,,,
farther,lexicore_only,B1,,,
fascinated,lexicore_only,B2,,,
fascination,lexicore_only,B2,,,
fatality,lexicore_only,C1,,,
fatigue,lexicore_only,C1,,,
favor,lexicore_only,A2,,,
favorite,lexicore_only,A1,,,
feast,lexicore_only,B1,,,
ferocious,lexicore_only,C1,,,
fetal,lexicore_only,C1,,,
fiddle,lexicore_only,C1,,,
fiercely,lexicore_only,C1,,,
fighter,lexicore_only,A2,,,
filling,lexicore_only,B1,,,
financially,lexicore_only,B2,,,
finite,lexicore_only,C1,,,
fireplace,lexicore_only,B2,,,
firewall,lexicore_only,C1,,,
fiscal,lexicore_only,B2,,,
fisherman,lexicore_only,A2,,,
flap,lexicore_only,B2,,,
flashback,lexicore_only,C1,,,
flask,lexicore_only,C1,,,
flatter,lexicore_only,C1,,,
flea,lexicore_only,A2,,,
flick,lexicore_only,C1,,,
flicker,lexicore_only,C1,,,
flip,lexicore_only,B2,,,
flock,lexicore_only,B1,,,
flux,lexicore_only,C1,,,
fog,lexicore_only,A2,,,
foggy,lexicore_only,A1,,,
forbidden,lexicore_only,B1,,,
forensic,lexicore_only,C1,,,
forfeit,lexicore_only,C1,,,
formality,lexicore_only,C1,,,
formats,lexicore_only,C1,,,
formidable,lexicore_only,B2,,,
formulation,lexicore_only,C1,,,
foul,lexicore_only,B2,,,
fountain,lexicore_only,B1,,,
fox,lexicore_only,B2,,,
fragmentation,lexicore_only,C1,,,
frank,lexicore_only,A2,,,
freezing,lexicore_only,B1,,,
fried,lexicore_only,A2,,,
frontier,lexicore_only,B2,,,
frost,lexicore_only,C1,,,
frosty,lexicore_only,C1,,,
fulfill,lexicore_only,B2,,,
fuse,lexicore_only,C1,,,
fusion,lexicore_only,C1,,,
gadget,lexicore_only,C1,,,
garbage,lexicore_only,A1,,,
gardener,lexicore_only,B2,,,
garlic,lexicore_only,A2,,,
garment,lexicore_only,B1,,,
gateway,lexicore_only,B2,,,
gauge,lexicore_only,B2,,,
gem,lexicore_only,C1,,,
generosity,lexicore_only,B2,,,
genome,lexicore_only,C1,,,
gently,lexicore_only,B2,,,
geological,lexicore_only,C1,,,
getaway,lexicore_only,B2,,,
ghostly,lexicore_only,C1,,,
gifted,lexicore_only,B1,,,
ginger,lexicore_only,B1,,,
given,lexicore_only,A2,,,
giving,lexicore_only,A1,,,
glamorous,lexicore_only,B2,,,
glasses,lexicore_only,A1,,,
glow,lexicore_only,B2,,,
goat,lexicore_only,B2,,,
goddess,lexicore_only,B1,,,
goodwill,lexicore_only,B2,,,
goose,lexicore_only,C1,,,
gourmet,lexicore_only,C1,,,
graceful,lexicore_only,B1,,,
gradient,lexicore_only,C1,,,
graduation,lexicore_only,B1,,,
graft,lexicore_only,C1,,,
gram,lexicore_only,A2,,,
grammar,lexicore_only,A1,,,
grammatical,lexicore_only,C1,,,
grandma,lexicore_only,A1,,,
grape,lexicore_only,A1,,,
grapefruit,lexicore_only,C1,,,
gratitude,lexicore_only,B1,,,
gray,lexicore_only,A1,,,
greatness,lexicore_only,B2,,,
greeting,lexicore_only,B1,,,
grim,lexicore_only,B2,,,
grounds,lexicore_only,C1,,,
growing,lexicore_only,B2,,,
gruesome,lexicore_only,C1,,,
gum,lexicore_only,B2,,,
gusto,lexicore_only,C1,,,
gypsy,lexicore_only,C1,,,
hack,lexicore_only,C1,,,
had,lexicore_only,A1,,,
haircut,lexicore_only,A1,,,
ham,lexicore_only,A2,,,
hamburger,lexicore_only,A1,,,
hammer,lexicore_only,B1,,,
handicapped,lexicore_only,A2,,,
handsome,lexicore_only,A1,,,
hanging,lexicore_only,C1,,,
harass,lexicore_only,C1,,,
harbor,lexicore_only,B1,,,
harmless,lexicore_only,B2,,,
has,lexicore_only,A1,,,
haunting,lexicore_only,B2,,,
haven,lexicore_only,B1,,,
having,lexicore_only,A1,,,
heavenly,lexicore_only,B1,,,
hedge,lexicore_only,B2,,,
hedgehog,lexicore_only,C1,,,
helix,lexicore_only,C1,,,
hepatitis,lexicore_only,C1,,,
heroine,lexicore_only,C1,,,
hesitation,lexicore_only,B2,,,
hike,lexicore_only,A2,,,
hiking,lexicore_only,A2,,,
holder,lexicore_only,B2,,,
holding,lexicore_only,A1,,,
homeowner,lexicore_only,C1,,,
hometown,lexicore_only,A1,,,
honor,lexicore_only,A2,,,
honorable,lexicore_only,B2,,,
hood,lexicore_only,B2,,,
hop,lexicore_only,B1,,,
horizontal,lexicore_only,B2,,,
hospitality,lexicore_only,B2,,,
hostess,lexicore_only,C1,,,
hours,lexicore_only,A1,,,
humane,lexicore_only,B2,,,
humiliation,lexicore_only,B2,,,
humor,lexicore_only,B1,,,
hunter,lexicore_only,A2,,,
hurdle,lexicore_only,C1,,,
hypocrisy,lexicore_only,C1,,,
hypocritical,lexicore_only,C1,,,
icy,lexicore_only,B2,,,
idle,lexicore_only,B2,,,
imitation,lexicore_only,B2,,,
immensely,lexicore_only,C1,,,
immortal,lexicore_only,B2,,,
imp,lexicore_only,C1,,,
impairment,lexicore_only,C1,,,
impede,lexicore_only,C1,,,
impediment,lexicore_only,C1,,,
imperative,lexicore_only,C1,,,
impersonal,lexicore_only,C1,,,
impersonate,lexicore_only,C1,,,
impersonation,lexicore_only,C1,,,
implicit,lexicore_only,C1,,,
importantly,lexicore_only,A2,,,
importer,lexicore_only,C1,,,
impoverished,lexicore_only,C1,,,
improved,lexicore_only,B2,,,
impulse,lexicore_only,B2,,,
incision,lexicore_only,C1,,,
incline,lexicore_only,C1,,,
inclusive,lexicore_only,C1,,,
incorporation,lexicore_only,C1,,,
incremental,lexicore_only,C1,,,
indefinite,lexicore_only,C1,,,
indefinitely,lexicore_only,C1,,,
independently,lexicore_only,B2,,,
indifference,lexicore_only,C1,,,
indispensable,lexicore_only,C1,,,
individuality,lexicore_only,C1,,,
induction,lexicore_only,C1,,,
industrialization,lexicore_only,C1,,,
inefficient,lexicore_only,C1,,,
inexperienced,lexicore_only,B2,,,
inexplicable,lexicore_only,C1,,,
infinite,lexicore_only,B1,,,
ingenious,lexicore_only,C1,,,
ingenuity,lexicore_only,C1,,,
inherently,lexicore_only,C1,,,
inheritance,lexicore_only,C1,,,
inhibition,lexicore_only,C1,,,
initiation,lexicore_only,C1,,,
innovate,lexicore_only,C1,,,
insecure,lexicore_only,C1,,,
insensitive,lexicore_only,C1,,,
insightful,lexicore_only,C1,,,
instability,lexicore_only,C1,,,
instinctive,lexicore_only,C1,,,
instinctively,lexicore_only,C1,,,
intangible,lexicore_only,C1,,,
intellect,lexicore_only,C1,,,
intentionally,lexicore_only,B1,,,
